sample_index,absolute_token_position,template_id,template_metadata.prompt_framing,template_metadata.output_format,task,task_metadata.task_family,task_metadata.difficulty,task_metadata.domain,task_metadata.complexity,task_metadata.planning_type,task_metadata.stakes,task_metadata.agency,quantity,quantity_text,base_value,base_unit,unit_variant,number_format,value,value_text,unit,source_folder,time_horizon_months,source_sample_count,PLS1,PLS2,PLS3,log10_time_horizon_months,reconstruction_residual_rms
0,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,1,seconds,original,numeric,1,1,second,<averaged>,3.80257e-07,264,-61.20101015598835,27.37511574470223,-16.56996593565993,-6.4199227824468466,0.08900464634491818
2,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,2,seconds,original,numeric,2,2,seconds,<averaged>,7.60514e-07,264,-68.26580115792136,26.744366709796935,-9.937885201549207,-6.118892786782865,0.07445892018136635
4,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,3,seconds,original,numeric,3,3,seconds,<averaged>,1.140771e-06,264,-67.51818433625492,25.788434982631195,-8.428968946217228,-5.942801527727185,0.06875619717218497
6,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,4,seconds,original,numeric,4,4,seconds,<averaged>,1.521028e-06,264,-65.59900662881813,23.62740806612107,-8.638323056264948,-5.817862791118885,0.06436588959000718
8,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,5,seconds,original,numeric,5,5,seconds,<averaged>,1.901285e-06,264,-69.13818040323767,24.6440010382492,-6.65708852767375,-5.720952778110828,0.06632303490353952
10,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,10,seconds,original,numeric,10,10,seconds,<averaged>,3.802571e-06,264,-69.28896581115804,22.29014459066813,-3.2335866767931334,-5.419922668236083,0.05944622214824208
12,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,20,seconds,original,numeric,20,20,seconds,<averaged>,7.605141e-06,264,-69.75233791273838,18.656639929555595,1.857738576938738,-5.11889272967748,0.05487463787488913
14,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,30,seconds,original,numeric,30,30,seconds,<averaged>,1.1407712e-05,264,-68.95249328381166,16.03305220548959,4.508213980894436,-4.942801451586671,0.055729670843335896
16,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,50,seconds,original,numeric,50,50,seconds,<averaged>,1.9012853e-05,264,-62.27780217424118,14.265243268980907,0.3713336953811809,-4.720952709584366,0.048606319455564
18,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,70,seconds,original,numeric,70,70,seconds,<averaged>,2.6617994e-05,264,-59.5257251896871,14.05817677962499,-0.8691752867916085,-4.574824677169293,0.04836990311504619
20,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,100,seconds,original,numeric,100,100,seconds,<averaged>,3.8025705e-05,264,-51.80070623260326,12.754524643779757,-10.385073440855932,-4.419922725341461,0.056113418089776
22,-1,task_available_time,<averaged>,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,1,months,original,numeric,1,1,month,<averaged>,1.0,2244,10.807225049042358,-28.53743494738551,12.480725007294883,0.0,0.035600311554075684
