sample_index,absolute_token_position,template_id,template_metadata.prompt_framing,template_metadata.output_format,task,task_metadata.task_family,task_metadata.difficulty,task_metadata.domain,task_metadata.complexity,task_metadata.planning_type,task_metadata.stakes,task_metadata.agency,quantity,quantity_text,base_value,base_unit,unit_variant,number_format,value,value_text,unit,source_folder,time_horizon_months,source_sample_count,PLS1,PLS2,PLS3,reconstruction_residual_rms
0,-1,direct_help,N/A,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,-62.04473170489388,2.130973264522379,-56.30969032316776,0.3609034011731397
1,-1,direct_help,N/A,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,12.890648754831355,-41.5220889352488,-16.785407331521764,0.33840494798507254
2,-1,direct_help,N/A,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,-39.08782253553337,-19.122908404917517,-48.2383502486953,0.38014340883620384
3,-1,direct_help,N/A,N/A,coordinate a disaster relief effort,emergency_response,high,safety,high,coordination,high,multi_agent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,23.137865825878436,-28.098165848467016,-8.364191839661022,0.32927760350371554
4,-1,direct_help,N/A,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,-36.11736131632369,-26.149822576014618,-55.35160742111438,0.3608032995598053
5,-1,direct_help,N/A,N/A,create a scalable marketplace platform,software_project,high,software,high,project,high,organization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,34.06110848084038,-34.57427078181954,-15.434781450735782,0.27929712586776634
6,-1,direct_help,N/A,N/A,create a single-page personal website,software_project,low,software,low,project,low,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,3.3775326490664215,-52.51716475311229,-12.119209352969985,0.28919514790942813
7,-1,direct_help,N/A,N/A,create an e-commerce website,software_project,medium,software,medium,project,medium,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,21.222361260021565,-52.00631958942401,-19.41422082053885,0.31463013722401867
8,-1,direct_help,N/A,N/A,design a communication plan for a company restructuring,communication_plan,high,communication,high,strategic,high,organization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,19.729517793503312,-38.11170900682941,-7.1726734621496995,0.2799312574512249
9,-1,direct_help,N/A,N/A,design an institution for long-term stability and effectiveness,institution_design,high,civilization,high,strategic,high,organization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,36.06876619884919,0.41730897084825375,-15.250274896952932,0.293232597866861
10,-1,direct_help,N/A,N/A,design and build a city resilient to natural disasters,resilient_infrastructure,very_high,infrastructure,very_high,systems,high,organization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,40.16344790015029,-20.443897189987563,-1.9205054520697953,0.28169724837797294
11,-1,direct_help,N/A,N/A,design and preserve a knowledge archive for future civilizations,knowledge_archive,high,knowledge_preservation,high,strategic,high,civilization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,48.955661850503844,16.51168469984295,8.92969827273012,0.2642704776415471
12,-1,direct_help,N/A,N/A,design infrastructure resilient to climate change,resilient_infrastructure,very_high,infrastructure,very_high,systems,high,organization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,30.63165014890973,-20.219478350433622,-9.677444820516719,0.30068162736892917
13,-1,direct_help,N/A,N/A,develop a long-term personal investment strategy,investment_strategy,high,business,high,strategic,high,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,35.49108003124465,-29.06703380130575,-14.88399649047023,0.28692714329645924
14,-1,direct_help,N/A,N/A,develop a long-term plan for safely containing hazardous materials,hazard_containment,high,safety,high,risk_management,high,organization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,36.55440065296739,-16.481567359427867,-18.882335278931727,0.289524856931662
15,-1,direct_help,N/A,N/A,develop a long-term strategy for humanity's survival,civilization_survival,very_high,civilization,very_high,strategic,existential,civilization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,49.05376036380432,14.840167906767478,6.16481173537264,0.2724902374761294
16,-1,direct_help,N/A,N/A,develop a process to preserve an organization's records for future teams,knowledge_archive,medium,knowledge_preservation,medium,systems,high,organization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,24.510759437485174,-32.08460130365633,-20.914126914583367,0.2986832868294555
17,-1,direct_help,N/A,N/A,establish a self-sustaining human settlement on another planet,civilization_survival,very_high,civilization,very_high,strategic,existential,civilization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,48.3254867602715,5.394752034050914,7.169329483353437,0.284442804708143
18,-1,direct_help,N/A,N/A,expand a local business to new markets,business_expansion,high,business,high,strategic,high,organization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,15.739550492597386,-40.35695523433342,-16.911458656972453,0.31225664533104025
19,-1,direct_help,N/A,N/A,make a cup of tea,prepare_drink,low,personal_lifestyle,low,procedural,low,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,-27.815109355951705,-31.65780370090662,-15.549812429495338,0.41686114878132563
20,-1,direct_help,N/A,N/A,organize a company-wide knowledge management system,organization_project,high,knowledge_preservation,high,systems,high,organization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,24.923295109308615,-43.20492867493254,-10.803811516630661,0.2793567161565757
21,-1,direct_help,N/A,N/A,organize a shared drive for a small team,organization_project,medium,administrative,medium,logistical,medium,multi_agent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,4.346383899858521,-55.11350507878289,-18.748994211409137,0.30377871210477153
22,-1,direct_help,N/A,N/A,organize a wedding for a friend,event_planning,high,personal_lifestyle,high,coordination,medium,multi_agent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,13.775116184835763,-49.905055362135734,-10.529076190946292,0.34230272226013886
23,-1,direct_help,N/A,N/A,organize files on a desk,organization_project,low,administrative,low,procedural,low,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,-8.579054741314485,-42.28030745340506,-21.990482702984714,0.3439986493381915
24,-1,direct_help,N/A,N/A,pack a bag with essentials for the day,personal_logistics,low,personal_lifestyle,low,procedural,low,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,-18.61718556248182,-38.64717003051729,-11.283855760632742,0.33625123119905187
25,-1,direct_help,N/A,N/A,plan a move to a new city,relocation,medium,personal_lifestyle,medium,logistical,medium,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,13.442758853032954,-51.63165378751213,-7.805024474351144,0.32971691365244643
26,-1,direct_help,N/A,N/A,plan an international trip,travel_planning,medium,personal_lifestyle,medium,logistical,medium,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,10.39787369753488,-46.411761527755964,-15.80953461892098,0.3353648212768577
27,-1,direct_help,N/A,N/A,preserve a small folder of important documents,knowledge_archive,low,knowledge_preservation,low,procedural,medium,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,-5.0530997335937675,-39.09216359504797,-35.234462460362046,0.35700109995161605
28,-1,direct_help,N/A,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,-21.302714493665444,-5.711302888931199,-69.35824271989924,0.37816254245533554
29,-1,direct_help,N/A,N/A,renovate an apartment,home_renovation,medium,personal_lifestyle,medium,logistical,medium,multi_agent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,16.306346327659956,-52.34314702200525,-14.222162874941075,0.340458727244803
30,-1,direct_help,N/A,N/A,restore a degraded ecosystem to long-term stability,ecosystem_restoration,very_high,safety,very_high,systems,high,multi_agent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,34.05116921119173,-10.522947614153102,-12.564125100151879,0.3178421956637539
31,-1,direct_help,N/A,N/A,tidy a desk before a meeting,workspace_organization,low,administrative,low,procedural,low,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,-27.711164222585914,-35.227870134562046,-5.924351167550071,0.3318276312316808
32,-1,direct_help,N/A,N/A,train for a marathon,physical_training,medium,personal_lifestyle,medium,training,medium,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,23.935183225506435,-53.53340551708308,-16.583445567165835,0.3367496684227997
33,-1,direct_help,N/A,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,16.901021388590927,-30.898360776179864,-14.834271898110913,0.36052888061013255
34,-1,direct_help,N/A,N/A,write a one-sentence email reply,communication_plan,low,communication,low,procedural,low,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,-84.2569075485964,9.876713543893105,-25.950980310049037,0.4485266251883055
35,-1,direct_help,N/A,N/A,write a sensitive email addressing a team conflict,communication_plan,medium,communication,medium,coordination,medium,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,-3.6334308269129414,-23.52257594509046,-10.38412301957899,0.3321171733333097
36,-1,direct_help,N/A,N/A,write a short story,creative_writing,medium,creative,medium,creative,low,individual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_constraints,,12,-8.145645972740425,-28.421616586012036,-13.806172168197998,0.3915040745427717
0,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,1,seconds,original,numeric,1,1,second,nof_conv,3.80257e-07,18,-127.58892071436426,56.726725807021474,-37.598733340546865,0.5151747637144486
198,-1,task_available_time,<averaged>,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,1,seconds,original,numeric,1,1,second,nof_conv,3.80257e-07,18,-127.91481889634429,59.498778156214684,-0.14282978576398664,0.4106016108991074
396,-1,task_available_time,<averaged>,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,1,seconds,original,numeric,1,1,second,nof_conv,3.80257e-07,18,-100.92838383346589,54.356101874199176,16.014011691364438,0.32294692534595787
3190,-1,task_available_time,<averaged>,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,1,seconds,original,numeric,1,1,second,nof_conv,3.80257e-07,18,-91.20886978993045,43.227941571004166,14.258389139848743,0.3223840796255569
0,-1,direct_help,N/A,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,1,seconds,original,numeric,1,1,second,plain,3.80257e-07,24,-74.71318763629172,36.39834779647264,-31.792236982201135,0.20974652933740143
198,-1,direct_help,N/A,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,1,seconds,original,numeric,1,1,second,plain,3.80257e-07,24,-65.38445566385934,39.04237659497161,-24.358140642383294,0.22035476335295123
396,-1,direct_help,N/A,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,1,seconds,original,numeric,1,1,second,plain,3.80257e-07,24,-43.04325844538639,9.185998768652837,-38.89577520359279,0.25471769395829125
3190,-1,direct_help,N/A,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,1,seconds,original,numeric,1,1,second,plain,3.80257e-07,24,-30.79333967233179,7.8150644491713335,-55.361432343958285,0.292445139264402
0,-1,direct_help,N/A,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,1,seconds,original,numeric,1,1,second,plain_long,3.80257e-07,24,-44.46465453426648,19.697272649816252,-1.6478562127346306,0.17360714011449394
198,-1,direct_help,N/A,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,1,seconds,original,numeric,1,1,second,plain_long,3.80257e-07,24,-38.23483719405775,23.6915185867916,0.42657522594581465,0.1691442549385274
396,-1,direct_help,N/A,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,1,seconds,original,numeric,1,1,second,plain_long,3.80257e-07,24,-25.66673980232571,0.5184333324908528,-6.407672752284092,0.18471270745031415
3190,-1,direct_help,N/A,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,1,seconds,original,numeric,1,1,second,plain_long,3.80257e-07,24,-15.179897772182851,4.420097774773531,-18.631217207557643,0.2021413556813495
2,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,2,seconds,original,numeric,2,2,seconds,nof_conv,7.60514e-07,18,-131.9117119862154,55.37061512589139,-24.454551238346376,0.4965128957698612
200,-1,task_available_time,<averaged>,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,2,seconds,original,numeric,2,2,seconds,nof_conv,7.60514e-07,18,-131.4713897931963,56.32088137793942,13.17371164709118,0.39066227081048893
398,-1,task_available_time,<averaged>,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,2,seconds,original,numeric,2,2,seconds,nof_conv,7.60514e-07,18,-108.53743857579187,48.37964284980204,28.345389424799045,0.31325044305809463
3192,-1,task_available_time,<averaged>,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,2,seconds,original,numeric,2,2,seconds,nof_conv,7.60514e-07,18,-90.07464181902287,35.656460778222375,19.944237789126575,0.31742386831235014
2,-1,direct_help,N/A,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,2,seconds,original,numeric,2,2,seconds,plain,7.60514e-07,24,-84.60282010578135,36.53499822278811,-27.407447685489572,0.20377079117775773
200,-1,direct_help,N/A,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,2,seconds,original,numeric,2,2,seconds,plain,7.60514e-07,24,-77.70695031699415,40.57425156293783,-16.33658428314749,0.21054181211184456
398,-1,direct_help,N/A,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,2,seconds,original,numeric,2,2,seconds,plain,7.60514e-07,24,-52.52710740612605,8.533881953690782,-32.94908659132184,0.23725990824498155
3192,-1,direct_help,N/A,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,2,seconds,original,numeric,2,2,seconds,plain,7.60514e-07,24,-36.996082821664245,9.474122870939198,-51.38932932642369,0.27633075530778406
2,-1,direct_help,N/A,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,2,seconds,original,numeric,2,2,seconds,plain_long,7.60514e-07,24,-52.653702625074914,19.92728694835546,2.9295748384165154,0.17262096924692655
200,-1,direct_help,N/A,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,2,seconds,original,numeric,2,2,seconds,plain_long,7.60514e-07,24,-47.61242541614818,25.044596092512947,6.317869997276157,0.16646547848512264
398,-1,direct_help,N/A,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,2,seconds,original,numeric,2,2,seconds,plain_long,7.60514e-07,24,-32.334338782817284,1.8209335041378565,-2.3677291114244583,0.17861981070381006
3192,-1,direct_help,N/A,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,2,seconds,original,numeric,2,2,seconds,plain_long,7.60514e-07,24,-19.993999251181688,5.482265804718779,-15.870594383828184,0.19454864800179375
4,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,3,seconds,original,numeric,3,3,seconds,nof_conv,1.140771e-06,18,-132.88445302424154,56.038206760026924,-19.77105206325957,0.49373485023048436
202,-1,task_available_time,<averaged>,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,3,seconds,original,numeric,3,3,seconds,nof_conv,1.140771e-06,18,-132.11029204685514,56.17349959143054,18.87479276213439,0.3918493260610348
400,-1,task_available_time,<averaged>,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,3,seconds,original,numeric,3,3,seconds,nof_conv,1.140771e-06,18,-107.87221459418208,45.417552471458755,32.72911168189505,0.3088066303902732
3194,-1,task_available_time,<averaged>,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,3,seconds,original,numeric,3,3,seconds,nof_conv,1.140771e-06,18,-88.20753618319625,33.3367365313821,20.18054275433416,0.31671477872724424
4,-1,direct_help,N/A,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,3,seconds,original,numeric,3,3,seconds,plain,1.140771e-06,24,-83.71388893350218,35.54254776870945,-25.529789602691018,0.19888819902496532
202,-1,direct_help,N/A,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,3,seconds,original,numeric,3,3,seconds,plain,1.140771e-06,24,-77.71272531329447,40.49996820447355,-14.889404049562163,0.20719967196991249
400,-1,direct_help,N/A,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,3,seconds,original,numeric,3,3,seconds,plain,1.140771e-06,24,-50.75689917119016,7.39254463083088,-32.39655165187996,0.23613069125860103
3194,-1,direct_help,N/A,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,3,seconds,original,numeric,3,3,seconds,plain,1.140771e-06,24,-35.44896237256284,8.282983869818882,-51.831257385903456,0.27999378458967394
4,-1,direct_help,N/A,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,3,seconds,original,numeric,3,3,seconds,plain_long,1.140771e-06,24,-51.49649064274307,18.307428091798535,4.117817797526829,0.17205474068331458
202,-1,direct_help,N/A,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,3,seconds,original,numeric,3,3,seconds,plain_long,1.140771e-06,24,-48.23578089301108,25.047191420090567,7.5762863862795315,0.16523052889330717
400,-1,direct_help,N/A,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,3,seconds,original,numeric,3,3,seconds,plain_long,1.140771e-06,24,-31.07345660936776,1.1561780548832465,-2.2751427948808662,0.17741384524049744
3194,-1,direct_help,N/A,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,3,seconds,original,numeric,3,3,seconds,plain_long,1.140771e-06,24,-18.455949725943597,4.219442689836675,-16.500664227538525,0.19605046871223386
6,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,4,seconds,original,numeric,4,4,seconds,nof_conv,1.521028e-06,18,-132.0420034156935,53.41811943629094,-15.998173116347532,0.47759647781072984
